"phrase","definition","example","example_translation","context_type"
"I don't know","表示自己不知道答案或資訊","'Which bus goes downtown?' 'I don't know,' the tourist admitted.","『哪班公車到市中心？』『我不知道。』那名旅客坦承。","A1"
"Where do you live","詢問對方居住的地方","While filling out the form, the nurse asked, 'Where do you live now?'","填寫表格時，護理師問：『你現在住哪裡？』","A1"
"Never mind","表示不必理會剛才的話或請求","I found my glasses and told my roommate, 'Never mind—I have them.'","我找到眼鏡後對室友說：『不用管了，我找到了。』","A1"
"Do you speak English","詢問對方是否會說英語","Lost at the station, Hana approached a guard and asked, 'Do you speak English?'","花奈在車站迷路，便上前問警衛：『你會說英語嗎？』","A1"
"Not really","（口語）婉轉表示不太是或不太會","'Do you enjoy horror films?' 'Not really; they keep me awake.'","『你喜歡恐怖片嗎？』『不太喜歡，它們會讓我睡不著。』","A2"
"What do you think","詢問對方的意見或看法","The designer showed us two logos and asked, 'What do you think of the blue one?'","設計師給我們看兩個標誌，問：『你們覺得藍色那個如何？』","A1"
"I'm not interested","直接表示自己沒有興趣","When the salesperson offered another plan, I said, 'I'm not interested, thank you.'","業務員又推一個方案時，我說：『我沒興趣，謝謝。』","A2"
"I'm thirsty","表示自己口渴、想喝東西","After the long bike ride, Max said, 'I'm thirsty—can we stop for water?'","騎了很久的腳踏車後，麥克斯說：『我好渴，可以停下來喝水嗎？』","A1"
"Who are you","詢問陌生人的身分","Hearing someone at the back door, Mia called, 'Who are you?'","聽到後門有人，米雅喊道：『你是誰？』","A1"
"That's right","確認對方所說的內容正確","'The meeting starts at nine, correct?' 'That's right,' Mina replied.","『會議九點開始，對嗎？』『沒錯。』米娜回答。","A1"
"Not much","（口語）表示沒什麼事或數量不多","'What did you do this weekend?' 'Not much—I mostly rested.'","『你週末做了什麼？』『沒什麼，大多在休息。』","A1"
"Your shirt's inside out","提醒對方襯衫穿反了","Before the family photo, Ana whispered, 'Your shirt's inside out.'","拍全家福前，安娜低聲提醒：『你的襯衫穿反了。』","A2"
"Not a chance","（口語）強烈表示絕不可能或拒絕","'Will Dad let us drive his new car?' 'Not a chance,' Leo laughed.","『爸爸會讓我們開他的新車嗎？』『絕對不可能。』里歐笑道。","B1"
"Need help","（簡短口語）詢問對方是否需要幫忙","Seeing a shopper reach for a high shelf, the clerk asked, 'Need help?'","店員看到顧客伸手拿高處商品，便問：『需要幫忙嗎？』","A1"
"Help me","直接請求對方協助自己","When the suitcase jammed, Nora called to her brother, 'Help me open this.'","行李箱卡住時，諾拉對哥哥喊：『幫我打開這個。』","A1"
"It's broken","表示某個物品已損壞","The child pressed the toy's button and said, 'It's broken; nothing happens.'","孩子按下玩具按鈕說：『它壞了，完全沒反應。』","A1"
"Calm down","要求或安撫對方冷靜下來","During the fire drill, the teacher said, 'Calm down and follow me outside.'","消防演習時，老師說：『冷靜下來，跟我到外面。』","A2"
"Take mine","主動把自己的東西讓給對方用","When Ella forgot a pen, I said, 'Take mine; I brought an extra.'","艾拉忘了帶筆時，我說：『拿我的吧，我多帶了一支。』","A1"
"Great idea","稱讚對方提出的主意很好","'Let's cook at home tonight.' 'Great idea—we can try that new recipe.'","『今晚在家煮吧。』『好主意，我們可以試試新食譜。』","A1"
"You're sweet","（口語）稱讚對方貼心又可愛","When Ben saved me the last cookie, I smiled and said, 'You're sweet.'","班把最後一塊餅乾留給我時，我笑著說：『你真貼心。』","A2"
"Watch out","緊急提醒對方當心危險","A ball flew toward the picnic table, and Dad shouted, 'Watch out!'","一顆球飛向野餐桌，爸爸大喊：『小心！』","A1"
"Be careful","提醒對方做事時注意安全","As Nina climbed the ladder, her coworker called, 'Be careful up there.'","妮娜爬梯子時，同事喊道：『在上面要小心。』","A1"
"Call me","請對方打電話給自己","Before leaving the clinic, the doctor said, 'Call me if the fever returns.'","離開診所前，醫師說：『如果又發燒就打給我。』","A1"
"Text me","請對方傳訊息給自己","'Text me when you reach the hotel,' Mia told her sister.","米雅對姊姊說：『到飯店後傳訊息給我。』","A1"
"No way","（口語）表示強烈拒絕或難以置信","'You met your favorite singer?' 'No way—show me the photo!'","『你見到最喜歡的歌手了？』『不會吧，給我看照片！』","A2"
"Which way","詢問該往哪個方向走","At the fork in the trail, Omar stopped and asked, 'Which way now?'","走到步道岔路時，奧瑪停下問：『現在走哪邊？』","A1"
"Go straight","指示對方繼續直走","The guard pointed down the hall and said, 'Go straight to the glass doors.'","警衛指著走廊說：『直走到玻璃門那裡。』","A1"
"Turn left","指示對方向左轉","After the pharmacy, the driver said, 'Turn left at the next light.'","經過藥局後，司機說：『下一個紅綠燈左轉。』","A1"
"Turn right","指示對方向右轉","The map showed, 'Turn right after the bridge to reach the farm.'","地圖顯示：『過橋後右轉即可抵達農場。』","A1"
"How far","詢問距離或還要走多遠","With the children getting tired, Mom asked the guide, 'How far is the lake?'","孩子們走累了，媽媽問嚮導：『湖還有多遠？』","A1"
"Stop here","要求在目前位置停下","As the taxi reached my building, I told the driver, 'Stop here, please.'","計程車抵達我家大樓時，我對司機說：『請停這裡。』","A1"
"Good job","稱讚對方做得很好","After the apprentice repaired the chair, the carpenter said, 'Good job.'","學徒修好椅子後，木匠說：『做得好。』","A1"
"You're kidding","（口語）表示驚訝、不敢相信對方","'Our flight was upgraded for free.' 'You're kidding!' Mia exclaimed.","『我們免費升等了。』『你在開玩笑吧！』米雅驚呼。","A2"
"No kidding","（口語）表示當真，也可強調完全同意","'This suitcase is heavy.' 'No kidding—I can barely lift it.'","『這個行李箱真重。』『可不是嗎，我幾乎抬不動。』","B1"
"I can't wait","表示非常期待某件即將發生的事","After booking the cabin, Zoe said, 'I can't wait for our mountain trip.'","訂好小木屋後，柔伊說：『我等不及去山上旅行了。』","A2"
"Tell me the truth","要求對方誠實說出真相","When the vase disappeared, Dad said, 'Tell me the truth—what happened?'","花瓶不見時，爸爸說：『告訴我實話，發生了什麼事？』","A2"
"Give me a second","（口語）請對方稍等一下","While unlocking the shop, the owner said, 'Give me a second; the key is stuck.'","店主開門時說：『等我一下，鑰匙卡住了。』","A2"
"Where are you from","詢問對方來自哪裡","At the language exchange, Luis asked his partner, 'Where are you from?'","語言交換活動中，路易斯問搭檔：『你來自哪裡？』","A1"
"It fits","表示尺寸合適或正好放得下","Maya tried on the helmet and smiled, 'It fits perfectly.'","瑪雅試戴安全帽後笑說：『大小剛剛好。』","A1"
"Too tight","表示衣物或物品尺寸太緊","In the fitting room, Jon tugged at the collar and said, 'Too tight.'","試衣間裡，喬恩拉了拉衣領說：『太緊了。』","A1"
"Too loose","表示衣物或物品尺寸太鬆","The skates wobbled on Ava's feet, so she said, 'Too loose—may I try a smaller pair?'","冰鞋在艾娃腳上晃動，她說：『太鬆了，可以換小一號嗎？』","A1"
"I agree","表示贊同對方的看法或建議","After reviewing the schedule, Chen nodded and said, 'I agree with the new plan.'","看過時程後，陳點頭說：『我同意新方案。』","A1"
"I disagree","表示不贊同對方的說法或決定","During the committee vote, Rosa said, 'I disagree with cutting the library hours.'","委員會表決時，蘿莎說：『我不同意縮短圖書館開放時間。』","A2"
"Who knows","（口語）表示沒人能確定答案","'Will the old team reunite someday?' 'Who knows—anything can happen.'","『老團隊有天會重聚嗎？』『誰知道，什麼都有可能。』","A2"
"What's going on","詢問目前發生了什麼事","Seeing everyone leave the office, I asked, 'What's going on downstairs?'","看到大家離開辦公室，我問：『樓下發生什麼事？』","A1"
"I'm on it","（口語）表示已著手處理某事","'We need more chairs in room four.' 'I'm on it,' the assistant replied.","『四號房需要更多椅子。』『我這就處理。』助理回答。","A2"
"Stay focused","提醒對方保持專注、不受干擾","During the final lap, the coach called, 'Stay focused on your pace.'","最後一圈時，教練喊道：『專心維持你的速度。』","A2"
"Keep going","鼓勵對方繼續前進或做下去","Halfway through the hike, our guide smiled and said, 'Keep going—we're close.'","健行走到一半時，嚮導笑說：『繼續走，我們快到了。』","A1"
"I'm tired","表示自己感到疲累","After cleaning the garage all morning, Dad sighed, 'I'm tired.'","整理了一早上的車庫後，爸爸嘆道：『我累了。』","A1"
"I need some rest","表示自己需要休息一下","After the night shift, Priya told her family, 'I need some rest.'","上完夜班後，普莉雅對家人說：『我需要休息一下。』","A1"
"What else","詢問還有什麼其他內容或需求","The grocer packed the apples and asked, 'What else do you need today?'","雜貨店員裝好蘋果後問：『你今天還需要什麼？』","A1"
"That's all for now","表示目前就先到這裡","At the end of training, the instructor said, 'That's all for now; see you Friday.'","訓練結束時，講師說：『目前就到這裡，週五見。』","A2"
"Do you understand","確認對方是否理解內容","After explaining the safety rule, Mom asked, 'Do you understand why it matters?'","說明安全規則後，媽媽問：『你明白它為何重要嗎？』","A1"
"I understand","表示自己已經理解","The nurse explained the medicine schedule, and I replied, 'I understand.'","護理師說明服藥時間後，我回答：『我明白了。』","A1"
"Let's begin","提議大家現在開始","Once every guest was seated, the host smiled and said, 'Let's begin.'","所有賓客就座後，主持人微笑說：『我們開始吧。』","A1"
"I'm listening","表示正專心聽，請對方繼續說","Ana put down her phone and told her son, 'I'm listening—tell me what happened.'","安娜放下手機對兒子說：『我在聽，告訴我發生了什麼。』","A2"
"Think twice","提醒對方三思後再行動","Before Leo quit his job, his sister warned, 'Think twice about that decision.'","里歐辭職前，姊姊提醒：『那個決定要三思。』","B1"
"Let me see","（口語）請對方讓自己看看或想一下","When the receipt looked wrong, the cashier said, 'Let me see it again.'","收據看來有誤時，收銀員說：『讓我再看一下。』","A1"
"Who cares","（口語）表示某事不重要或自己不在乎","'Your socks don't match.' 'Who cares? I'm staying home today.'","『你的襪子不成對。』『誰在乎？我今天待在家。』","B1"
"Take it easy","勸對方放輕鬆或別太勉強","Seeing Max work through lunch, his colleague said, 'Take it easy this afternoon.'","看到麥克斯午餐時間仍工作，同事說：『下午放輕鬆點。』","A2"
"That's true","承認對方所說的確實如此","'The cheaper route takes longer.' 'That's true, but we have time.'","『便宜的路線比較久。』『沒錯，但我們有時間。』","A1"
"Move on","勸對方放下此事並繼續前進","After discussing the error, the chairperson said, 'Move on to the next item.'","討論完錯誤後，主席說：『接著進行下一項。』","B1"
"Stay here","要求對方留在原地","The ranger told the children, 'Stay here while I check the bridge.'","巡護員對孩子們說：『留在這裡，我去檢查那座橋。』","A1"
"I'd rather not","（禮貌口語）表示自己不太願意","'Would you like to speak on camera?' 'I'd rather not, if that's okay.'","『你願意對著鏡頭發言嗎？』『可以的話，我不太想。』","A2"
"By the way","轉換話題時順帶提起另一件事","As we left the café, Mia said, 'By the way, your book is in my bag.'","我們離開咖啡館時，米雅說：『對了，你的書在我包包裡。』","A2"
"Skip it","（口語）表示省略或不做某件事","The dessert menu was expensive, so Dad said, 'Skip it; we have cake at home.'","甜點菜單太貴，爸爸說：『算了，家裡有蛋糕。』","A2"
"Answer the phone","要求對方接起電話","While I was cooking, I asked Leo, 'Answer the phone, please.'","我做飯時請里歐：『請接一下電話。』","A1"
"Leave a message","請對方在無人接聽時留言","The clinic recording said, 'Leave a message after the tone.'","診所的錄音說：『請在提示音後留言。』","A2"
"Who's this","通話或訊息中詢問對方身分","I answered the unfamiliar call and asked, 'Who's this, please?'","我接起陌生來電問：『請問哪位？』","A1"
"It's me","表明來者或通話者是自己","From outside the locked door, Ben called, 'It's me—can you let me in?'","班在鎖上的門外喊：『是我，可以讓我進去嗎？』","A1"
"Wrong number","告知對方打錯電話了","After a stranger asked for Carla, I said, 'Wrong number, sorry.'","陌生人找卡拉時，我說：『抱歉，你打錯了。』","A1"
"Call back later","請對方稍後再打電話","The receptionist was with a client, so she said, 'Call back later this afternoon.'","接待員正在接待客戶，所以說：『今天下午晚點再打來。』","A2"
"About when","（口語）大約詢問時間點","'The plumber will arrive this afternoon.' 'About when should I expect him?'","『水電工下午會到。』『大約幾點會來？』","A2"
"What does this mean","詢問某段內容或事物的意思","Pointing at a road sign, the tourist asked, 'What does this mean?'","旅客指著路標問：『這是什麼意思？』","A1"
"Come over","邀請對方到自己這裡或家裡","After baking too many muffins, Zoe texted, 'Come over and take some home.'","柔伊烤了太多瑪芬，傳訊息說：『過來拿一些回家吧。』","A2"
"Get ready","要求對方開始準備","Dad checked the train time and called upstairs, 'Get ready—we leave at eight.'","爸爸查看火車時間後朝樓上喊：『準備好，我們八點出發。』","A1"
"Try your best","鼓勵對方盡力而為","Before the spelling contest, Mom hugged Eli and said, 'Try your best.'","拼字比賽前，媽媽抱著伊萊說：『盡力就好。』","A1"
"Miss you","（簡短口語）表示想念對方","On her first night away, Ava texted her family, 'Miss you already.'","離家的第一晚，艾娃傳訊息給家人：『已經開始想你們了。』","A1"
"Guess what","（口語）引出令人意外或興奮的消息","Nora burst into the kitchen and said, 'Guess what—I got the internship!'","諾拉衝進廚房說：『你猜怎樣，我拿到實習了！』","A2"
"Tell me","請對方把事情說給自己聽","Seeing his worried face, June said, 'Tell me what happened at school.'","看到他憂心的表情，君說：『告訴我學校發生了什麼。』","A1"
"Will it rain today","詢問今天是否會下雨","Before hanging laundry outside, Grandma asked, 'Will it rain today?'","把衣服晾到外面前，奶奶問：『今天會下雨嗎？』","A1"
"I'll pick you up","表示會開車或前往接對方","When Lia's shift ended late, her brother said, 'I'll pick you up at ten.'","莉亞晚班結束較晚，哥哥說：『我十點去接你。』","A2"
"You're late","指出對方比約定時間晚到","When Omar entered the rehearsal, the director said, 'You're late again.'","奧瑪走進排練場時，導演說：『你又遲到了。』","A1"
"Not again","（口語）對壞事重演表示懊惱","The printer jammed for the third time, and Mia groaned, 'Not again!'","印表機第三次卡紙，米雅呻吟道：『怎麼又來了！』","A2"
"I was surprised","表示某件事令自己意外","When the quiet café filled up, the owner admitted, 'I was surprised by the crowd.'","安靜的咖啡館坐滿人時，老闆坦言：『這麼多人讓我很意外。』","A2"
"What's it to you","（不客氣口語）反問對方為何多管","When a stranger questioned her purchase, Ana snapped, 'What's it to you?'","陌生人質問安娜買了什麼，她不耐地回道：『關你什麼事？』","B1"
"Wait here","要求對方在此處等候","At the museum entrance, Dad told us, 'Wait here while I buy tickets.'","在博物館入口，爸爸說：『在這裡等，我去買票。』","A1"
"Hang in there","鼓勵困境中的人再撐一下","During the steep climb, our guide called, 'Hang in there—the top is close.'","爬上陡坡時，嚮導喊道：『撐住，山頂快到了。』","B1"
"Try harder","要求對方投入更多努力","When the first draft lacked detail, the editor said, 'Try harder on the conclusion.'","初稿細節不足時，編輯說：『結論部分再多下點功夫。』","A2"
"Don't move","要求對方保持原位不動","While removing a splinter, Mom told the child, 'Don't move your hand.'","媽媽替孩子拔刺時說：『手不要動。』","A1"
"Stay back","警告對方別靠近危險區域","As sparks flew from the wire, the electrician shouted, 'Stay back!'","電線冒出火花時，電工大喊：『退後！』","A2"
"Stand by","要求對方待命或稍候","The producer told the camera crew, 'Stand by for the live announcement.'","製作人對攝影團隊說：『待命，準備現場公告。』","B1"
"Keep calm","提醒對方維持冷靜","When turbulence shook the plane, the attendant said, 'Keep calm and stay seated.'","飛機遇到亂流時，空服員說：『保持冷靜並坐在位子上。』","A2"
"What's your hobby","詢問對方平時的興趣","At the new-student lunch, Leo asked his classmate, 'What's your hobby?'","新生午餐會上，里歐問同學：『你的興趣是什麼？』","A1"
"Like what","（口語）請對方舉例說明","'We need more outdoor activities.' 'Like what?' the camp leader asked.","『我們需要更多戶外活動。』『例如什麼？』營隊領隊問。","A2"
"Go away","直接要求對方離開","The raccoon approached the bins, and Dad clapped and shouted, 'Go away!'","浣熊靠近垃圾桶時，爸爸拍手大喊：『走開！』","A1"
"I'm busy","表示自己正在忙，暫時沒空","When her friend called during class, Nina texted, 'I'm busy—talk later.'","朋友在上課時打來，妮娜傳訊息說：『我在忙，晚點聊。』","A1"
"Look around","請對方四處看看或查看環境","The realtor opened the apartment door and said, 'Look around at your own pace.'","房仲打開公寓大門說：『請按自己的步調四處看看。』","A2"
"I'm in a hurry","表示自己趕時間","At the crowded counter, Ben said, 'I'm in a hurry; could I pay now?'","在擁擠的櫃檯前，班說：『我趕時間，可以現在結帳嗎？』","A2"
"Step aside","要求對方讓到一旁","The paramedic faced the crowd and said, 'Step aside and give us room.'","救護員面向人群說：『讓到旁邊，給我們一些空間。』","A2"
"Follow me","要求對方跟著自己走","The hostess picked up two menus and said, 'Follow me to your table.'","帶位員拿起兩份菜單說：『請跟我到座位。』","A1"
"Move over","請對方挪出一些空間","On the crowded sofa, Maya told her brother, 'Move over so Grandma can sit.'","擁擠的沙發上，瑪雅對哥哥說：『挪一下，讓奶奶坐。』","A2"
"Almost done","表示某事就快完成了","When the children asked about dinner, Dad called, 'Almost done—set the table.'","孩子們問晚餐好了沒，爸爸喊道：『快好了，去擺桌子。』","A1"
"I give up","表示停止嘗試或承認無法解決","After an hour on the puzzle, Sam sighed, 'I give up—show me the answer.'","解了一小時謎題後，山姆嘆道：『我放棄了，告訴我答案吧。』","A2"
"That's enough","表示已經足夠，要求停止","When the children began shouting, their teacher said, 'That's enough—quiet down.'","孩子們開始大叫時，老師說：『夠了，安靜下來。』","A2"
"Take this","要對方拿著或收下某物","Before the hike, Lia handed me a bottle and said, 'Take this for the trail.'","健行前，莉亞遞給我一瓶水說：『路上帶著這個。』","A1"
"Give me five","（口語）伸手擊掌慶祝或鼓勵","After our team scored, the coach grinned and said, 'Give me five!'","我們隊得分後，教練笑著說：『來，擊個掌！』","A2"
"I'm ready","表示自己已經準備好了","When the driving instructor arrived, Zoe buckled up and said, 'I'm ready.'","駕駛教練到達後，柔伊繫好安全帶說：『我準備好了。』","A1"
"Come back","要求對方回來","As her son ran toward the gate, Mom called, 'Come back and get your coat.'","兒子跑向大門時，媽媽喊：『回來拿外套。』","A1"
"It's mine","表示某件東西屬於自己","When the clerk held up a red scarf, Ava said, 'It's mine—I left it here.'","店員舉起紅圍巾時，艾娃說：『那是我的，我忘在這裡了。』","A1"
"It's yours","表示某件東西屬於對方","Dad handed me the old camera and said, 'It's yours now; take good care of it.'","爸爸把舊相機交給我說：『現在它是你的了，要好好愛惜。』","A1"
"Show me","要求對方展示或示範給自己看","When Kai mentioned a new card trick, I said, 'Show me how it works.'","凱提到新的紙牌魔術時，我說：『示範給我看怎麼變。』","A1"
"Pick one","要求對方從選項中選一個","The baker pointed to three cupcakes and told the child, 'Pick one.'","麵包師指著三個杯子蛋糕對孩子說：『選一個吧。』","A1"
"It's hard","表示某件事很困難","Learning the first chord, Mia frowned and said, 'It's hard to stretch my fingers.'","學第一個和弦時，米雅皺眉說：『手指要張開很難。』","A1"
"It's easy","表示某件事很簡單","The clerk demonstrated the scanner and said, 'It's easy once you try it.'","店員示範掃描器後說：『試過一次就很簡單。』","A1"
"You decide","把決定權交給對方","'Should we eat noodles or rice?' 'You decide; I like both.'","『我們吃麵還是飯？』『你決定，我都喜歡。』","A1"
"I'm confused","表示自己感到困惑、不明白","After reading two different schedules, Omar said, 'I'm confused about the start time.'","看了兩份不同時程後，奧瑪說：『我搞不清楚開始時間。』","A2"
"Don't touch","警告或要求對方不要碰某物","The museum guard pointed at the sculpture and said, 'Don't touch the artwork.'","博物館警衛指著雕塑說：『請勿觸摸藝術品。』","A1"
"Just go","（口語）催促對方直接離開或去做","When Leo kept hesitating at the door, his sister said, 'Just go—you'll miss the bus.'","里歐一直在門口猶豫，姊姊說：『快走吧，不然會錯過公車。』","A2"
"Don't worry","安慰對方不必擔心","When the cake cracked, Grandma smiled and said, 'Don't worry; it will still taste good.'","蛋糕裂開時，奶奶笑說：『別擔心，味道還是會很好。』","A1"
"I promise","鄭重保證自己會做到某事","Before borrowing the bike, Max said, 'I promise I'll return it before dark.'","借腳踏車前，麥克斯說：『我保證天黑前會還。』","A1"
"I'm lost","表示自己迷路或不知道方向","At the station, a traveler showed me a map and said, 'I'm lost.'","車站裡，一名旅客拿著地圖對我說：『我迷路了。』","A1"
"Don't lie","要求對方不要說謊","When the cookies vanished, Dad told the children, 'Don't lie about what happened.'","餅乾不見時，爸爸對孩子們說：『不要對發生的事說謊。』","A1"
"Be honest","要求對方坦白誠實","The doctor asked about my habits and said, 'Be honest so I can help you.'","醫師詢問我的習慣並說：『請說實話，我才能幫你。』","A2"
"No more excuses","表示不再接受任何藉口","After the third missed deadline, the manager said, 'No more excuses—finish it today.'","第三次錯過期限後，經理說：『別再找藉口，今天完成。』","B1"
"It doesn't make sense","表示某事不合邏輯或難以理解","After comparing the two bills, Priya said, 'It doesn't make sense that we paid twice.'","比對兩張帳單後，普莉雅說：『我們付了兩次，這不合理。』","A2"
"I'm mad","表示自己正在生氣","When someone scratched his car, Ben said, 'I'm mad, but I'll stay calm.'","有人刮傷班的車時，他說：『我很生氣，但我會保持冷靜。』","A2"
"Come along","邀請或要求對方一起走","As the family left for the market, Mom said, 'Come along with us, Mia.'","家人準備去市場時，媽媽說：『米雅，跟我們一起來吧。』","A2"
"Hurry up","催促對方快一點","The train was approaching, so Kai called, 'Hurry up or we'll miss it!'","火車快進站了，凱喊道：『快點，不然會錯過！』","A1"
"Look out","緊急警告對方注意危險","A cyclist sped around the corner, and Nina shouted, 'Look out!'","一名騎士快速轉過街角，妮娜大喊：『小心！』","A1"
"Let's talk about it","提議一起談談並處理問題","After the siblings argued, Dad said, 'Let's talk about it after dinner.'","手足爭吵後，爸爸說：『我們晚餐後談談這件事。』","A2"
"I made a mistake","承認自己犯了錯","The cashier checked the change and said, 'I made a mistake—here's the rest.'","收銀員核對找零後說：『我弄錯了，這是少找的錢。』","A2"
"Don't be sad","安慰對方不要難過","When the balloon popped, Grandpa said, 'Don't be sad; we'll get another one.'","氣球破掉時，爺爺說：『別難過，我們再買一個。』","A1"
"Stay away from me","強硬要求對方離自己遠一點","After the stranger followed her, Ana turned and shouted, 'Stay away from me!'","陌生人尾隨安娜時，她轉身大喊：『離我遠一點！』","A2"
"Step back","要求對方往後退一步或保持距離","As the train arrived, the guard told everyone, 'Step back from the platform edge.'","火車進站時，警衛提醒大家：『從月台邊緣往後退。』","A2"
"Take care of it","要求對方負責處理某事","When a pipe began leaking, the landlord told the plumber, 'Take care of it today.'","水管開始漏水時，房東對水電工說：『今天把它處理好。』","A2"
"It's not worth it","表示某事不值得花時間或冒險","Seeing the icy shortcut, Lia said, 'It's not worth it—let's take the main road.'","看到結冰的捷徑，莉亞說：『不值得冒險，我們走大路吧。』","B1"
"Let's keep moving","提議大家繼續前進別停下","Dark clouds gathered above the trail, so our guide said, 'Let's keep moving.'","步道上方烏雲聚集，嚮導說：『我們繼續往前走。』","A2"
"Anything you say","表示願意照辦，也可能帶敷衍語氣","Too tired to debate dinner plans, Jon sighed, 'Anything you say.'","喬恩累得不想爭論晚餐安排，嘆道：『都聽你的。』","B1"
"The milk went bad","表示牛奶已經變質","After smelling the carton, Dad frowned and said, 'The milk went bad.'","爸爸聞了紙盒後皺眉說：『牛奶壞掉了。』","A2"
"Since when","（口語）驚訝地追問從何時開始","'Leo can bake bread now.' 'Since when?' his sister asked.","『里歐現在會烤麵包了。』『從什麼時候開始的？』姊姊問。","A2"
"Keep your voice down","要求對方降低音量","In the hospital hallway, the nurse whispered, 'Keep your voice down, please.'","在醫院走廊，護理師低聲說：『請小聲一點。』","A2"
"It's not my fault","表示某件事不是自己的責任","When the outdoor show was canceled by rain, the organizer said, 'It's not my fault.'","戶外表演因雨取消時，主辦人說：『這不是我的錯。』","A2"
"I don't buy it","（口語）表示不相信某個說法","After hearing his weak excuse, Maya said, 'I don't buy it—tell me what really happened.'","聽到他站不住腳的藉口後，瑪雅說：『我不信，說出真相。』","B1"
"I'm sure","表示自己很確定","When Nina doubted the address, I said, 'I'm sure this is the right building.'","妮娜懷疑地址時，我說：『我確定就是這棟大樓。』","A1"
"My bad","（口語）簡短承認是自己的錯","After taking the wrong mug, Sam said, 'My bad—I thought it was mine.'","山姆拿錯杯子後說：『我的錯，我以為是我的。』","A2"
"I'm sorry","用來向對方道歉或表示遺憾","After stepping on her foot, I said, 'I'm sorry—are you okay?'","踩到她的腳後，我說：『對不起，你還好嗎？』","A1"
"No problem","回應感謝或表示事情不麻煩","'Thanks for carrying the bags.' 'No problem,' the neighbor replied.","『謝謝你幫忙提袋子。』『不客氣。』鄰居回答。","A1"
"No biggie","（隨意口語）表示不是什麼大事","When I apologized for being five minutes late, Ava said, 'No biggie.'","我為遲到五分鐘道歉時，艾娃說：『沒什麼大不了。』","B1"
"I win","宣布自己贏得比賽或遊戲","When her last card matched, the child jumped up and shouted, 'I win!'","最後一張牌配對成功時，孩子跳起來喊：『我贏了！』","A1"
"That's great","表示覺得某個消息或結果很好","'The shelter found the puppy a home.' 'That's great news!' Mia said.","『收容所替小狗找到家了。』『那太好了！』米雅說。","A1"
"You nailed it","（口語）稱讚對方表現完全到位","After Zoe finished the difficult solo, her teacher said, 'You nailed it.'","柔伊完成高難度獨奏後，老師說：『你表現得完美極了。』","B1"
"As soon as possible","要求某事在最短時間內完成","'As soon as possible,' the doctor said, 'send me the test results.'","醫師說：『請盡快把檢驗結果送給我。』","B1"
"You're welcome","禮貌回應對方的感謝","'Thank you for the directions.' 'You're welcome,' the clerk said.","『謝謝你指路。』『不客氣。』店員說。","A1"
"Trust me","要求對方相信自己的判斷或承諾","At the unfamiliar restaurant, Leo said, 'Trust me—the noodles here are excellent.'","在陌生餐廳裡，里歐說：『相信我，這裡的麵非常好吃。』","A2"
"I swear","強調自己所說的話是真的","When no one believed her story, Ana said, 'I swear I saw a deer outside.'","沒人相信安娜的故事時，她說：『我發誓真的看到外面有鹿。』","B1"
"Where is the exit","詢問出口的位置","When the alarm sounded, a visitor asked the guard, 'Where is the exit?'","警報響起時，一名訪客問警衛：『出口在哪裡？』","A1"
"Just checking","（口語）表示只是確認一下","I opened the oven and said, 'Just checking whether the bread is ready.'","我打開烤箱說：『只是確認麵包烤好了沒。』","A2"
"This soup is hot","表示湯的溫度很燙","The server set down the bowl and warned, 'This soup is hot, so be careful.'","服務生放下碗提醒：『這碗湯很燙，請小心。』","A1"
"Please pass the salt","用餐時禮貌請人遞鹽","At the family dinner, Grandpa asked, 'Please pass the salt, Mia.'","家庭晚餐時，爺爺說：『米雅，請把鹽遞過來。』","A1"
"The beef is tender","表示牛肉口感柔嫩","After tasting the stew, the chef smiled and said, 'The beef is tender now.'","主廚嚐了燉肉後笑說：『牛肉現在很嫩了。』","A2"
"Try some","邀請對方品嚐或使用一些","Maya offered me the fruit salad and said, 'Try some—it's fresh.'","瑪雅把水果沙拉遞給我說：『嚐一些吧，很新鮮。』","A1"
"You bet","（口語）爽快表示當然或一定","'Can you help us move Saturday?' 'You bet—I'll bring my truck.'","『你星期六能幫我們搬家嗎？』『當然，我會開卡車來。』","A2"
"It's my turn","表示輪到自己做某事","At the board game table, Nora reached for the dice and said, 'It's my turn.'","玩桌遊時，諾拉伸手拿骰子說：『輪到我了。』","A1"
"That's it","表示就是那個，或事情到此結束","When the key finally turned, Ben smiled and said, 'That's it—you opened it.'","鑰匙終於轉動時，班笑說：『就是這樣，你打開了。』","A2"
"I'm trying","表示自己正在努力嘗試","When the coach urged her to speed up, Lia called, 'I'm trying my best!'","教練催她加速時，莉亞喊道：『我正在盡力！』","A1"
"The water is boiling","表示水已經沸騰","From the kitchen, Dad called, 'The water is boiling—bring me the pasta.'","爸爸從廚房喊道：『水滾了，把義大利麵拿來。』","A1"
"It takes time","提醒對方某事需要時間累積","When I struggled with piano, my teacher said, 'It takes time to build skill.'","我學鋼琴遇到困難時，老師說：『培養技巧需要時間。』","A2"
"My mistake","承認是自己弄錯或負責","After checking the booking, the clerk said, 'My mistake—your room is ready.'","店員核對訂房後說：『是我弄錯了，你的房間準備好了。』","A2"
"What for","（口語）詢問某事的目的或原因","'I need to borrow your ladder.' 'What for?' Dad asked.","『我需要借你的梯子。』『要做什麼？』爸爸問。","A2"
