"word","ipa","pos","inflections","derivatives","definition","example","collocations","context_type"
"Exotic","/ɪɡˈzɑtɪk/","adj.","exotic, more exotic, most exotic","exotically (adv.)","異國情調的；奇特的","She's known for her exotic tastes in fashion and often travels to remote parts of the world to find unique fabrics.","exotic location; exotic pets; truly exotic","B1"
"Customary","/ˈkʌstəˌmɛri/","adj.","customary, more customary, most customary","customarily (adv.), custom (n.)","習慣的；慣常的","It is customary to hold the door open for someone behind you as a simple gesture of politeness and respect.","customary practice; customary procedure; customary law","C1"
"Minute","/maɪˈnut/","adj.","minute, more minute, most minute","minutely (adv.)","極小的；微小的","He examined the document in minute detail, looking for any tiny errors that others might have missed.","minute detail; minute amount; minute examination","B1"
"Asset","/ˈæsɛt/","n.","asset, assets","None","資產；有價值的物品/人","Her ability to stay calm under pressure is a huge asset to the emergency response team.","valuable asset; liquid assets; frozen assets","C1"
"Practically","/ˈpræktɪkəli/","adv.","practically, more practically, most practically","practical (adj.)","幾乎；實際上","I've practically finished the report, so I should be able to send it to you by the end of the day.","practically impossible; practically identical; practically empty","B1"
"Feasible","/ˈfizəbəl/","adj.","feasible, more feasible, most feasible","feasibility (n.), feasibly (adv.)","可行的；行得通的","With current technology, it is just not feasible to build a permanent colony on Mars within the next decade.","commercially feasible; economically feasible; perfectly feasible","C1"
"Achievable","/əˈtʃivəbəl/","adj.","achievable, more achievable, most achievable","achieve (v.), achievement (n.)","可達成的；可實現的","Setting smaller, achievable goals every week helps keep the team motivated for the long-term project.","achievable goal; easily achievable; realistically achievable","B1"
"Compatible","/kəmˈpætəbəl/","adj.","compatible, more compatible, most compatible","compatibility (n.)","兼容的；能共處的","The new software is not compatible with older versions of the operating system, so you'll need to upgrade.","fully compatible; compatible with; backward compatible","C1"
"Consistent","/kənˈsɪstənt/","adj.","consistent, more consistent, most consistent","consistently (adv.), consistency (n.)","一致的；始終如一的","The athlete's consistent performance throughout the season earned her the MVP title.","consistent effort; consistent quality; consistent with","B1"
"Improper","/ɪmˈprɑpər/","adj.","improper, more improper, most improper","improperly (adv.), impropriety (n.)","不適當的；不合適的","The investigation revealed that the CEO had used company funds for improper personal expenses.","improper conduct; improper use; highly improper","C1"
"Awkward","/ˈɔkwərd/","adj.","awkward, more awkward, most awkward","awkwardly (adv.), awkwardness (n.)","令人尷尬的；笨拙的","There was an awkward silence in the room after he made that inappropriate joke at dinner.","awkward silence; awkward situation; feel awkward","B1"
"Rigid","/ˈrɪdʒɪd/","adj.","rigid, more rigid, most rigid","rigidly (adv.), rigidity (n.)","死板的；僵硬的","The school has a rigid policy regarding attendance, and they rarely make exceptions for anyone.","rigid rules; rigid structure; rigid adherence","B2"
"Tangled","/ˈtæŋɡəld/","adj.","tangled, more tangled, most tangled","tangle (v.)","糾纏的；複雜的","I spent an hour trying to untangle the tangled mess of Christmas lights I pulled out of the attic.","tangled web; tangled mess; tangled hair","B1"
"Methodical","/məˈθɑdɪkəl/","adj.","methodical, more methodical, most methodical","methodically (adv.), method (n.)","有條理的；井然有序的","He's very methodical in his work, checking off each step of the process as he goes along.","methodical approach; highly methodical; methodical worker","B1"
"Negligent","/ˈnɛɡlɪdʒənt/","adj.","negligent, more negligent, most negligent","negligence (n.), negligently (adv.)","疏忽的；失職的","The company was found negligent for failing to maintain the safety equipment properly.","grossly negligent; criminally negligent; negligent in","C1"
"Negligence","/ˈnɛɡlɪdʒəns/","n. [U]","no changes","negligent (adj.)","疏忽；粗心","The accident was caused by pure negligence on the part of the contractor, who ignored the safety warnings.","medical negligence; gross negligence; act of negligence","C1"
"Chaotic","/keɪˈɑtɪk/","adj.","chaotic, more chaotic, most chaotic","chaotically (adv.), chaos (n.)","混亂的；無秩序的","The scene at the airport was chaotic after all flights were canceled due to the blizzard.","chaotic situation; highly chaotic; totally chaotic","B1"
"Messy","/ˈmɛsi/","adj.","messy, messier, messiest","mess (n.), messily (adv.)","凌亂的；骯髒的","The divorce turned into a messy legal battle that dragged on for nearly three years.","messy room; messy divorce; a bit messy","B1"
"Turbulent","/ˈtɜrbjələnt/","adj.","turbulent, more turbulent, most turbulent","turbulence (n.)","動盪的；湍急的","The country has survived a turbulent history marked by frequent revolutions and economic crises.","turbulent times; turbulent history; turbulent waters","C1"
"Settle","/ˈsɛtəl/","v.","settle, settles, settled, settled, settling","settlement (n.), settler (n.)","解決；定居","It took months of negotiation, but they finally managed to settle the dispute out of court.","settle a dispute; settle down; out of court settlement","C1"
"Obedient","/oʊˈbidiənt/","adj.","obedient, more obedient, most obedient","obediently (adv.), obedience (n.)","服從的；順從的","The dog was incredibly obedient, sitting and staying perfectly still even when other animals ran past.","obedient child; blindly obedient; obedient to","B1"
"Moderate","/ˈmɑdərət/","adj.","moderate, more moderate, most moderate","moderation (n.), moderately (adv.)","適度的；溫和的","The new policy aims to address the moderate challenges facing students in rural areas.","moderate amount; moderate exercise; moderate views","C1"
"Cultured","/ˈkʌltʃərd/","adj.","cultured, more cultured, most cultured","culture (n.)","有教養的；文雅的","He's a very cultured man who enjoys opera, fine art, and classical literature.","cultured man; highly cultured; cultured pearls","B1"
"Tame","/teɪm/","adj.","tame, tamer, tamest","tamely (adv.), tamer (adj.)","馴服的；溫順的","The tame deer in the wildlife park showed no fear of the visiting tourists.","tame animal; pretty tame; surprisingly tame","C1"
"Savage","/ˈsævɪdʒ/","n.","savage, savages","savagely (adv.), savagery (n.)","野蠻人；未開化的人","The tribe was unfairly portrayed as savages by early colonial explorers who misunderstood their customs.","noble savage; act like a savage; bands of savages","B1"
"Brutal","/ˈbrutəl/","adj.","brutal, more brutal, most brutal","brutally (adv.), brutality (n.)","殘忍的；嚴酷的","The winter was brutal, with record-breaking cold temperatures and heavy snow that lasted for months.","brutal attack; brutal honesty; brutal winter","C1"
"Inhuman","/ɪnˈhjumən/","adj.","inhuman, more inhuman, most inhuman","inhumanity (n.)","不人道的；無同情心的","The prisoners were kept in inhuman conditions, with very little food and no access to clean water.","inhuman treatment; cruel and inhuman; inhuman conditions","B1"
"Refined","/rɪˈfaɪnd/","adj.","refined, more refined, most refined","refinement (n.), refine (v.)","精煉的；優雅的","The artist's refined technique allows for a subtle depiction of emotions in every brushstroke of the painting.","refined sugar; refined taste; highly refined","C1"
"Insignificant","/ˌɪnsɪɡˈnɪfɪkənt/","adj.","insignificant, more insignificant, most insignificant","insignificantly (adv.), insignificance (n.)","微不足道的；不重要的","The difference in cost between the two options was so insignificant that it did not affect our final decision.","insignificant detail; relatively insignificant; pale into insignificance","B2"
"Effectual","/ɪˈfɛktʃuəl/","adj.","effectual, more effectual, most effectual","effectually (adv.)","有效的；奏效的","The new law proved to be an effectual measure in reducing carbon emissions across the industrial sector.","effectual means; prove effectual; highly effectual","C1"
"Beneficial","/ˌbɛnəˈfɪʃəl/","adj.","beneficial, more beneficial, most beneficial","beneficially (adv.), benefit (n.)","有益的；有利的","Regular exercise and a balanced diet are highly beneficial for maintaining long-term physical and mental health.","mutually beneficial; highly beneficial; beneficial effect","C1"
"Benefit","/ˈbɛnəfɪt/","n.","benefit, benefits","beneficial (adj.)","好處；利益","One of the key benefits of regular exercise is improved cardiovascular health and better overall mood.","derive benefit; mutual benefit; fringe benefits","B1"
"Void","/vɔɪd/","n.","void, voids","None","空虛；空隙","The sudden departure of the founder left a void in the organization that proved difficult to fill.","fill the void; leave a void; an aching void","C1"
"Copious","/ˈkoʊpiəs/","adj.","copious, more copious, most copious","copiously (adv.)","大量的；豐富的","Students are encouraged to take copious notes during the lecture to ensure they capture all the key points for review.","copious amounts; copious notes; take copious","B2"
"Replete","/rɪˈplit wɪθ/","adj.","replete, more replete, most replete","None","充滿...的","The historical manuscript is replete with detailed illustrations that provide a vivid glimpse into medieval daily life.","replete with danger; replete with examples; fully replete with","B1"
"Populated","/ˈpɑpjəˌleɪtɪd/","adj.","populated, more populated, most populated","populate (v.), population (n.)","有人居住的","The coastal areas of this country are the most densely populated regions in the entire nation.","densely populated; sparsely populated; heavily populated","C1"
"Evacuate","/ɪˈvækjueɪt/","v.","evacuate, evacuates, evacuated, evacuated, evacuating","evacuation (n.)","撤離；疏散","Local authorities had to evacuate the area after heavy rainfall caused widespread flooding.","evacuate the building; forced to evacuate; safely evacuate","B1"
"Occupy","/ˈɑkjəˌpaɪ/","v.","occupy, occupies, occupied, occupied, occupying","occupation (n.), occupant (n.)","佔據；佔用","The administrative tasks will occupy most of her time during the first few weeks of the new project.","occupy space; occupy a position; currently occupy","B1"
"Accuse","/əˈkjuz/","v.","accuse, accuses, accused, accused, accusing","accusation (n.), accuser (n.)","指控；控告","He was accused of fraud after irregularities were discovered in the company's financial records.","accuse of; falsely accuse; stand accused","C1"
"Convict","/ˈkɑnvɪkt/","n.","convict, convicts","conviction (n.)","囚犯；罪犯","The escaped convict was finally apprehended by police three days after breaking out of prison.","escaped convict; former convict; fellow convict","C1"
"Civil","/ˈsɪvəl/","adj.","civil, more civil, most civil","civilian (n.), civilly (adv.), civility (n.)","公民的；民事的","They decided to resolve their dispute in a civil court rather than pursuing a criminal investigation into the matter.","civil rights; civil war; civil society","C1"
"Guilty","/ˈɡɪlti/","adj.","guilty, guiltier, guiltiest","guilt (n.), guiltily (adv.)","有罪的；內疚的","She felt guilty about missing her friend's wedding due to a work commitment.","plead guilty; feel guilty; found guilty","C1"
"Peer","/pɪr/","n.","peer, peers","None","同儕；同輩","Adolescents often feel a strong pressure to conform to the behavior and expectations of their peer group.","peer pressure; peer review; respected by peers","C1"
"Suspect","/ˈsʌspɛkt/","n.","suspect, suspects","suspicion (n.), suspicious (adj.)","嫌疑犯；涉嫌者","Police are currently questioning a key suspect who was seen near the crime scene shortly before the incident occurred.","prime suspect; murder suspect; arrest a suspect","C1"
"Witness","/ˈwɪtnəs/","n.","witness, witnesses","None","目擊者；證人","The defense lawyer called a surprise witness to the stand to provide an alibi for the defendant's whereabouts.","eye witness; key witness; call a witness","C1"
"Allegedly","/əˈlɛdʒɪdli/","adv.","allegedly, more allegedly, most allegedly","allege (v.), alleged (adj.)","據說；涉嫌","The politician allegedly accepted bribes from several construction companies over a period of five years.","allegedly responsible; allegedly fraudulent; allegedly violated","C1"
"Verdict","/ˈvɜrdɪkt/","n. [U]","no changes","None","裁決；判決","After hours of deliberation, the jury finally returned a verdict of not guilty for the young defendant.","reach a verdict; deliver a verdict; guilty verdict","C1"
"Offense","/əˈfɛns/","n.","offense, offenses","offender (n.), offensive (adj.)","犯罪；冒犯","Driving under the influence of alcohol is considered a serious criminal offense in many countries around the world.","criminal offense; minor offense; cause offense","C1"
"Afford","/əˈfɔrd/","v.","afford, affords, afforded, afforded, affording","affordable (adj.), affordability (n.)","買得起；承擔得起","Many young families in the city cannot afford to buy a home due to the rising property prices.","can afford; afford to buy; ill afford","B1"
"Conduct","/kənˈdʌkt/","v.","conduct, conducts, conducted, conducted, conducting","conductor (n.)","進行；引導","The company decided to conduct its operations in the region due to changing market conditions.","conduct a survey; conduct research; successfully conduct","C1"
"Operate","/ˈɑpəˌreɪt/","v.","operate, operates, operated, operated, operating","operation (n.), operator (n.)","運作；操作","The new hospital wing will begin to operate at full capacity by the start of next year.","operate a machine; operate successfully; operate smoothly","C1"
"Govern","/ˈɡʌvərn/","v.","govern, governs, governed, governed, governing","government (n.), governor (n.)","統治；管理","The new regulations will govern how companies handle sensitive customer data and privacy.","govern successfully; govern the country; loosely governed","C1"
"Oversee","/ˌoʊvərˈsi/","v.","oversee, oversees, oversaw, overseen, overseeing","oversight (n.)","監督；監管","He was hired to oversee the new manufacturing division and ensure all production targets were met on time.","oversee a project; oversee operations; hired to oversee","C1"
"Notify","/ˈnoʊtəˌfaɪ/","v.","notify, notifies, notified, notified, notifying","notification (n.)","通知；告知","Employees are required to notify their supervisors immediately if they encounter any safety hazards in the workplace.","notify in advance; formally notify; immediately notify","C1"
"Indifference","/ɪnˈdɪfrəns/","n. [U]","no changes","indifferent (adj.)","漠不關心；冷淡","The management showed total indifference to the workers' complaints about the poor ventilation in the warehouse.","show indifference; treat with indifference; complete indifference","C1"
"Oversight","/ˈoʊvərˌsaɪt/","n.","oversight, oversights","oversee (v.)","疏忽；監督","The committee was established to provide independent oversight of the agency's financial practices and ensure full compliance with regulations.","an administrative oversight; strict oversight; lack of oversight","C1"
"Inattention","/ˌɪnəˈtɛnʃən/","n. [U]","no changes","inattentive (adj.)","漫不經心；疏忽","Many traffic accidents are the result of driver inattention and a failure to react to changing road conditions.","moment of inattention; sheer inattention; caused by inattention","B1"
"Delinquency","/dɪˈlɪŋkwənsi/","n. [U]","no changes","delinquent (adj.)","違法行為；拖欠","Social workers are trying to steer high-risk youth away from delinquency by providing better educational opportunities.","juvenile delinquency; tax delinquency; rate of delinquency","C1"
"Inconsideration","/ˌɪnkənˌsɪdəˈreɪʃən/","n. [U]","no changes","inconsiderate (adj.)","不顧及他人；輕率","There is no excuse for his inconsideration and rudeness toward the clients who were waiting for their appointments.","show inconsideration; sheer inconsideration; act with inconsideration","B1"
"Criticize","/ˈkrɪtɪˌsaɪz/","v.","criticize, criticizes, criticized, criticized, criticizing","criticism (n.), critic (n.)","批評；指責","The editorial heavily criticized the government's handling of the public health crisis.","harshly criticize; openly criticize; criticize for","B2"
"Acclaim","/əˈkleɪm/","v.","acclaim, acclaims, acclaimed, acclaimed, acclaiming","acclaimed (adj.)","讚揚；稱譽","The scientist was widely acclaimed by the international community for her groundbreaking research in renewable energy.","receive widespread acclaim; acclaim as the best; critical acclaim","C1"
"Applause","/əˈplɔz/","n. [U]","no changes","applaud (v.)","鼓掌；喝采","The announcement of the new environmental policy was greeted with loud applause and cheers from the audience.","loud applause; round of applause; break into applause","B1"
"Appreciation","/əˌpriʃiˈeɪʃən/","n. [U]","no changes","appreciate (v.), appreciative (adj.)","欣賞；感謝","I would like to show my appreciation for your hard work by treating the whole team to dinner.","show appreciation; deep appreciation; token of appreciation","C1"
"Cheer","/tʃɪr/","v.","cheer, cheers, cheered, cheered, cheering","cheerful (adj.)","歡呼；為...加油","Thousands of fans gathered at the airport to cheer for the national team after their victory in the championship.","cheer wildly; cheer loudly; crowd cheered","B1"
"Compliment","/ˈkɑmpləˌmɛnt/","v.","compliment, compliments, complimented, complimented, complimenting","complimentary (adj.)","讚美；恭維","Marshall's influence extended elsewhere; Italians would compliment Maffeo Pantaleoni by calling him the ""Marshall of Italy"".","compliment someone on; highly compliment; generously compliment","B1"
"Multiply","/ˈmʌltəˌplaɪ/","v.","multiply, multiplies, multiplied, multiplied, multiplying","multiplication (n.), multiple (n.)","乘；使相乘；繁殖；大量增加","If left unchecked, bacteria can multiply rapidly in warm and moist environments.","multiply quickly; multiply by; rapidly multiply","B1"
"Dexterity","/dɛkˈstɛrəti/","n. [U]","no changes","dexterous (adj.)","靈巧；熟練","The job of a watchmaker requires extreme manual dexterity and the ability to work with very tiny components.","manual dexterity; mental dexterity; display dexterity","B1"
"Clumsy","/ˈklʌmzi/","adj.","clumsy, clumsier, clumsiest","clumsily (adv.), clumsiness (n.)","笨拙的；不灵巧的；（处理事情）拙劣的","He was so clumsy that he managed to spill coffee on his laptop on his very first day at the new job.","clumsy movement; feel clumsy; terribly clumsy","B1"
"Savvy","/ˈsævi/","adj.","savvy, savvier, savviest","None","精明的；有見識的","She is a very savvy investor who knows exactly when to enter and exit the volatile stock market.","tech savvy; politically savvy; media savvy","C1"
"Proficient","/prəˈfɪʃənt/","adj.","proficient, more proficient, most proficient","proficiency (n.)","熟練的；精通的","He has become very proficient at programming in several languages, making him a valuable asset to the software team.","highly proficient; technically proficient; proficient in","B2"
"Incapacity","/ˌɪnkəˈpæsəti/","n. [U]","no changes","incapacitate (v.)","無能力；無資格","His temporary incapacity following the accident prevented him from returning to work for three months.","mental incapacity; physical incapacity; suffer from incapacity","C1"
"Know-how","/ˈnoʊˌhaʊ/","n. [U]","no changes","None","專門知識；實際技能","Transferring the technical know-how to local engineers proved essential for the project's long-term sustainability.","technical know-how; acquire know-how; practical know-how","C1"
"Significance","/sɪɡˈnɪfɪkəns/","n. [U]","no changes","significant (adj.)","重要性；意義","The discovery of the tomb had enormous historical significance and was widely reported in the press.","great significance; historical significance; attach significance to","B2"
"Fundamental","/ˌfʌndəˈmɛntəl/","n.","fundamental, fundamentals","fundamentally (adv.)","基本原則；基礎","Understanding the fundamentals of algebra is essential before tackling more advanced mathematics.","learn the fundamentals; grasp the fundamentals; economic fundamentals","B2"
"Notion","/ˈnoʊʃən/","n.","notion, notions","None","概念；想法","The study disproves any notion that dolphins are not intelligent enough to use tools for their survival.","reject the notion; romantic notion; preconceived notion","C1"
"Equivalent","/ɪˈkwɪvələnt/","n.","equivalent, equivalents","equivalence (n.)","等價物；等同物","The word 'okay' is roughly the equivalent of 'all right' in formal written English.","the modern equivalent; moral equivalent; find an equivalent","B1"
"Permit","/ˈpɜrmɪt/","n.","permit, permits","permission (n.)","许可证；执照；通行证","You need a valid work permit to be legally employed in a foreign country.","work permit; parking permit; apply for a permit","B1"
"Protest","/ˈproʊtɛst/","n.","protest, protests","protester (n.)","抗議；異議","The proposed tuition increase sparked a widespread protest among students and faculty across the university.","peaceful protest; stage a protest; mass protest","B1"
"Impoverished","/ɪmˈpɑvərɪʃt/","adj.","impoverished, more impoverished, most impoverished","impoverish (v.), impoverishment (n.)","窮困的；貧乏的","Many small farmers in the region remain impoverished due to the prolonged drought and lack of modern equipment.","impoverished area; impoverished family; deeply impoverished","B1"
"Opulent","/ˈɑpjələnt/","adj.","opulent, more opulent, most opulent","opulence (n.), opulently (adv.)","奢華的；富麗堂皇的","The billionaire hosted an opulent banquet at his sprawling estate to celebrate his recent business success.","opulent lifestyle; opulent surroundings; highly opulent","B1"
"Intact","/ɪnˈtækt/","adj.","no changes","None","完整無缺的；未受損的","Despite centuries of erosion, the temple's foundations remained remarkably intact when archaeologists excavated the site.","remain intact; survive intact; largely intact","B1"
"Green","/ɡrin/","adj.","green, greener, greenest","greenery (n.)","綠色的；環保的；缺乏經驗的","Although he is talented, the new manager is still quite green and needs guidance on handling complex corporate politics.","green energy; green with envy; still green","C1"
"Ambiguous","/æmˈbɪɡjuəs/","adj.","ambiguous, more ambiguous, most ambiguous","ambiguously (adv.), ambiguity (n.)","模稜兩可的；含糊不清的","The contract contained an ambiguous clause that both parties interpreted differently in court.","highly ambiguous; deliberately ambiguous; somewhat ambiguous","B1"
"Animated","/ˈænəˌmeɪtɪd/","adj.","animated, more animated, most animated","animate (v.), animation (n.)","活躍的；生氣勃勃的","The professor delivered an animated lecture that kept students engaged throughout the entire class.","animated discussion; animated conversation; highly animated","B1"
"Obscure","/əbˈskjʊr/","v.","obscure, obscures, obscured, obscured, obscuring","obscurity (n.)","遮掩；使模糊","Thick fog began to obscure the mountain peaks, making navigation extremely difficult for the climbers.","obscure the view; obscure the fact; tend to obscure","B1"
"Exhilarating","/ɪɡˈzɪləˌreɪtɪŋ/","adj.","exhilarating, more exhilarating, most exhilarating","exhilarate (v.), exhilaration (n.)","令人振奮的；令人高興的","Reaching the mountain summit after a long climb provided an exhilarating view that made all the effort worthwhile.","exhilarating experience; exhilarating ride; truly exhilarating","B1"
"Roster","/ˈrɑstər/","n.","roster, rosters","None","名單；值勤表","The coach carefully reviewed the team roster to decide which players would start in the championship game this weekend.","duty roster; team roster; put on the roster","B1"
"Parochial","/pəˈroʊkiəl/","adj.","parochial, more parochial, most parochial","parochialism (n.)","狹隘的；地方觀念的","His parochial attitude made it difficult for him to appreciate perspectives from different cultures.","parochial view; parochial attitude; narrow and parochial","C1"
"Curriculum","/kəˈrɪkjələm/","n.","curriculum, curriculums","curricular (adj.)","課程；課程體系","The school updated its curriculum to include more courses on environmental sustainability and climate awareness.","school curriculum; national curriculum; core curriculum","B2"
"Affiliate","/əˈfɪliˌeɪt wɪθ/","v.","affiliate, affiliates, affiliated, affiliated, affiliating","affiliation (n.)","使隸屬於；使併入","The local hospital decided to affiliate with a major university to improve its access to cutting-edge medical research.","affiliate with a university; closely affiliate with; choose to affiliate with","C1"
"Secular","/ˈsɛkjələr/","adj.","secular, more secular, most secular","secularism (n.), secularize (v.)","世俗的；非宗教的","France has a strong secular tradition that keeps religious institutions separate from the state.","secular society; secular education; secular state","B1"
"Implicitly","/ɪmˈplɪsɪtli/","adv.","implicitly, more implicitly, most implicitly","implicit (adj.)","含蓄地；不言而喻地","By not objecting to the proposal, she implicitly agreed to take on the extra responsibilities for the upcoming project.","trust implicitly; implicitly assume; agree implicitly","B1"
"Contentment","/kənˈtɛntmənt/","n. [U]","no changes","content (n.)","滿足；滿意","She found true contentment in simple pleasures — a good book, a warm cup of tea, and the company of close friends.","feel contentment; sigh of contentment; bring contentment","B1"
"Pacify","/ˈpæsəˌfaɪ/","v.","pacify, pacifies, pacified, pacified, pacifying","pacification (n.), pacifier (n.)","平息；安撫","The manager tried to pacify angry customers by offering full refunds and sincere apologies.","pacify the crowd; pacify a baby; try to pacify","C1"
"Soothing","/ˈsuðɪŋ/","adj.","soothing, more soothing, most soothing","soothe (v.)","撫慰的；鎮痛的","The therapist used a soothing voice and calm music to help the patient relax during the stressful session.","soothing voice; soothing effect; soothing music","C1"
"Displease","/dɪsˈpliz/","v.","displease, displeases, displeased, displeased, displeasing","displeasure (n.)","使生氣；使不快","The manager’s decision to cancel the annual bonus will certainly displease many employees who worked hard all year.","greatly displease; tend to displease; bound to displease","B1"
"Oblige","/əˈblaɪdʒ/","v.","oblige, obliges, obliged, obliged, obliging","obligation (n.), obligatory (adj.)","迫使；施恩於","The landlord is legally obliged to maintain safe and habitable conditions for all tenants.","feel obliged; happy to oblige; oblige someone with","C1"
"Bore","/bɔr/","n.","bore, bores","bored (adj.), boredom (n.)","令人討厭的人或事物","He was such a bore that people avoided inviting him to social gatherings.","such a bore; bit of a bore; crashing bore","B1"
"Bar","/bɑr/","v.","bar, bars, barred, barred, barring","None","阻擋；禁止","The court issued an order to bar the defendant from contacting any of the witnesses.","bar the way; strictly bar; formally bar from","B1"
"Cease","/sis/","v.","cease, ceases, ceased, ceased, ceasing","ceaseless (adj.), ceaselessly (adv.)","停止；中止","The company decided to cease its operations in the region due to changing market conditions.","cease to exist; cease fire; gradually cease","B1"
"Controversial","/ˌkɑntrəˈvɜrʃəl/","adj.","controversial, more controversial, most controversial","controversy (n.)","有爭議的；引起爭論的","The scientist's controversial theory challenged decades of established assumptions and provoked intense debate among his colleagues.","highly controversial; controversial issue; controversial figure","B1"
"Deficiency","/dɪˈfɪʃənsi/","n.","deficiency, deficiencies","deficient (adj.)","缺乏；不足","A vitamin D deficiency can lead to weakened bones and an increased risk of fractures.","vitamin deficiency; iron deficiency; overcome a deficiency","C1"
"Commit","/kəˈmɪt/","v.","commit, commits, committed, committed, committing","commitment (n.), committed (v.)","犯（罪或錯）；承諾；投入；使致力於","He committed to completing the marathon despite the injury he sustained during training.","commit a crime; commit to memory; commit suicide","C1"
"Achieve","/əˈtʃiv/","v.","achieve, achieves, achieved, achieved, achieving","achievement (n.), achievable (adj.)","達成；實現","You can achieve your long-term career goals through persistent effort and continuous learning every day.","achieve a goal; achieve success; hard to achieve","B1"
"Forfeit","/ˈfɔrfɪt/","v.","forfeit, forfeits, forfeited, forfeited, forfeiting","forfeiture (n.)","喪失；被沒收","If you fail to fulfill the contract terms, you will forfeit your right to the deposit.","forfeit the right; forfeit the match; risk forfeiting","C1"
"Slump","/slʌmp/","v.","slump, slumps, slumped, slumped, slumping","None","暴跌；重重地坐下","The stock market slumped dramatically after the government announced the unexpected interest rate hike.","slump into a chair; sales slump; heavily slump","C1"
"Ascent","/əˈsɛnt/","n.","ascent, ascents","ascend (v.)","上升；攀登","The climbers began their final ascent to the summit just as the sun started to rise.","steep ascent; rapid ascent; begin the ascent","C1"
"Commence","/kəˈmɛns/","v.","commence, commences, commenced, commenced, commencing","commencement (n.)","開始；著手","The formal graduation ceremony will commence promptly at ten o'clock in the main assembly hall.","commence operations; formally commence; shortly commence","C1"
"Betray","/bɪˈtreɪ/","v.","betray, betrays, betrayed, betrayed, betraying","betrayal (n.)","背叛；出賣","He felt deeply hurt when he discovered that his closest friend had betrayed his trust for money.","betray a secret; betray trust; horribly betray","B1"
"Loss","/lɔs/","n.","loss, losses","lose (v.)","損失；喪失","The company reported a heavy financial loss due to the unexpected changes in international trade policies.","weight loss; heavy loss; suffer a loss","C1"
"Casualty","/ˈkæʒuəlti/","n.","casualty, casualties","None","傷亡人員；傷亡者；受害者","Aid workers reported that the civilian casualty toll continued to rise as the conflict in the region intensified.","heavy casualties; civilian casualties; suffer casualties","C1"
"Belongings","/bɪˈlɔŋɪŋz/","n. [U]","no changes","belong (v.)","所有物；財產","Please make sure that you take all your personal belongings with you when you leave the train.","personal belongings; gather your belongings; pack your belongings","B1"
"Thwart","/θwɔrt/","v.","thwart, thwarts, thwarted, thwarted, thwarting","None","阻撓；挫敗","The police managed to thwart the attempted robbery by arriving at the scene within minutes of the alarm.","thwart a plan; successfully thwart; repeatedly thwart","B1"
"Flaw","/flɔ/","n.","flaw, flaws","flawed (v.)","使有瑕疵；損害","The study had a serious flaw in its methodology that undermined the validity of its conclusions.","critical flaw; serious flaw; find a flaw","C1"
"Endearing","/ɪnˈdɪrɪŋ/","adj.","endearing, more endearing, most endearing","endearingly (adv.), endear (v.)","惹人喜愛的","One of his most endearing qualities is his ability to make everyone feel welcome and comfortable.","endearing quality; endearing smile; absolutely endearing","B1"
"Fleeting","/ˈflitɪŋ/","adj.","fleeting, more fleeting, most fleeting","fleetingly (adv.)","短暫的；轉瞬即逝的","For a fleeting moment, she considered quitting her job and traveling around the world alone.","fleeting glimpse; fleeting moment; fleeting thought","C1"
"Durable","/ˈdʊrəbəl/","adj.","durable, more durable, most durable","durability (n.)","耐用的；持久的","These hiking boots are made of durable leather and are designed to withstand very rough outdoor conditions.","durable material; highly durable; extremely durable","B1"
"Balanced","/ˈbælənst/","adj.","balanced, more balanced, most balanced","balance (n.)","平衡的；均衡的","Maintaining a balanced diet rich in fruits and vegetables is essential for long-term health and vitality.","balanced diet; well balanced; balanced approach","C1"
"Wobbly","/ˈwɑbli/","adj.","wobbly, wobblier, wobbliest","wobble (v.)","搖晃的；不穩的","The table is a bit wobbly because one of its legs is slightly shorter than the others.","wobbly table; feeling wobbly; wobbly legs","B1"
"Fuzzy","/ˈfʌzi/","adj.","fuzzy, fuzzier, fuzziest","fuzziness (n.)","毛茸茸的；模糊的","Without my glasses, everything in the distance looks fuzzy and I cannot recognize people's faces easily.","fuzzy logic; fuzzy picture; warm and fuzzy","C1"
"Anemic","/əˈnimɪk/","adj.","anemic, more anemic, most anemic","anemia (n.)","貧血的；缺乏活力的","Investors expressed deep concern over the company's anemic growth rates during the last three fiscal quarters.","look anemic; highly anemic; anemic performance","C1"
"Pliant","/ˈplaɪənt/","adj.","pliant, more pliant, most pliant","pliancy (n.)","柔軟的；順從的","The young branches of the willow tree are very pliant and can be easily woven into baskets.","pliant material; highly pliant; pliant nature","C1"
"Vulnerable","/ˈvʌlnərəbəl/","adj.","vulnerable, more vulnerable, most vulnerable","vulnerability (n.), vulnerably (adv.)","脆弱的；易受傷的","Young children and the elderly are particularly vulnerable to respiratory infections during the cold winter months.","vulnerable to; highly vulnerable; feel vulnerable","B1"
"Exposed","/ɪkˈspoʊzd/","adj.","exposed, more exposed, most exposed","expose (v.), exposure (n.)","暴露的；無遮蔽的","The hikers were left exposed to the wind and rain when their tent was blown away overnight.","exposed to the elements; left exposed; highly exposed","C1"
"Heedless","/ˈhidlɪs/","adj.","heedless, more heedless, most heedless","heedlessly (adv.)","不注意的；掉以輕心的","He drove at high speeds through the narrow streets, heedless of the danger to nearby pedestrians.","heedless of danger; entirely heedless; heedless rush","B1"
