"word","ipa","pos","inflections","derivatives","definition","example","collocations","context_type"
"Jaded","/ˈdʒeɪdɪd/","adj.","jaded, more jaded, most jaded","jadedness (n.)","tired, bored, or lacking enthusiasm after overexposure","After decades of reviewing similar manuscripts, even the most jaded editors were impressed by the originality of her thesis.","jaded palate; feel jaded; jaded audience","C2"
"Jejune","/dʒɪˈdʒuːn/","adj.","jejune, more jejune, most jejune","jejuneness (n.), jejunity (n.)","幼稚的；乏味的；空洞的","The reviewer dismissed the novel's central thesis as jejune, noting that its arguments lacked the intellectual depth expected of serious scholarship.","jejune argument; jejune analysis; jejune prose","C2"
"Jest","/dʒest/","n.","jest, jests","jester (n.)","笑話；玩笑","Although the professor delivered the remark in jest, several students mistook the comment for a genuine criticism of their methodology.","in jest; spoken in jest; said in jest","C2"
"Jest","/dʒest/","v.","jest, jests, jested, jested, jesting","jester (n.)","開玩笑；說笑","The lecturer occasionally jested about the obscurity of the topic, yet his playful tone never undermined the rigour of the underlying analysis.","jest about; jest with colleagues; jest lightly","C2"
"Jingoism","/ˈdʒɪŋɡəʊɪzəm/","n. [U]","no changes","jingoist (n.), jingoistic (adj.)","沙文主義；侵略主義","Historians argue that the wave of jingoism preceding the war was deliberately cultivated by a press eager to inflame public sentiment.","wave of jingoism; rampant jingoism; appeal to jingoism","C2"
"Jocular","/ˈdʒɒkjələr/","adj.","jocular, more jocular, most jocular","jocularity (n.)","愛開玩笑的；詼諧的；輕鬆風趣的","Even in his most technical lectures, the economist adopted a jocular tone that made abstract theories accessible to a general audience.","jocular tone; jocular remark; jocular manner","C2"
"Kerfuffle","/kəˈfʌfl/","n.","kerfuffle, kerfuffles","None","吵鬧；混亂；混亂局面","The proposed revision to the citation guidelines caused a minor kerfuffle among faculty members who disagreed over its practical implications.","minor kerfuffle; cause a kerfuffle; political kerfuffle","C2"
"Kindred","/ˈkɪndrəd/","adj.","kindred, more kindred, most kindred","kin (adj.)","相似的；相關的；有親屬關係的","The two researchers, working independently on kindred problems, were astonished to discover that their conclusions converged almost entirely.","kindred spirit; kindred disciplines; kindred concepts","C2"
"Knave","/neɪv/","n.","knave, knaves","None","不誠實的人；惡棍","In the satirical pamphlet, the corrupt official is portrayed as a scheming knave who exploits public trust for personal gain.","deceitful knave; scheming knave; cunning knave","C2"
"Lackadaisical","/ˌlækəˈdeɪzɪkl/","adj.","lackadaisical, more lackadaisical, most lackadaisical","None","無精打采的；不熱心的；隨便的","The committee criticised the lackadaisical approach to data verification, warning that such negligence could compromise the entire study.","lackadaisical approach; lackadaisical attitude; lackadaisical effort","C2"
"Laconic","/ləˈkɒnɪk/","adj.","laconic, more laconic, most laconic","laconicism (n.)","簡潔的；簡明的","The scientist's laconic reply offered little detail, yet its precision revealed a thorough command of the experimental results.","laconic reply; laconic style; laconic comment","C2"
"Laggard","/ˈlæɡərd/","adj.","laggard, more laggard, most laggard","lag (v.)","遲緩的；落後的","Compared with its competitors, the firm remained a laggard adopter of digital technologies, a delay that economists believe eroded its market share.","laggard pace; laggard economy; laggard adopter","C2"
"Lampoon","/læmˈpuːn/","n.","lampoon, lampoons","lampooner (n.)","諷刺文章；漫畫","The newspaper published a biting lampoon of the minister, ridiculing his policies through a series of exaggerated caricatures.","political lampoon; biting lampoon; savage lampoon","C2"
"Languid","/ˈlæŋɡwɪd/","adj.","languid, more languid, most languid","languor (n.), languish (adj.)","慢悠自在的；無力的；倦怠的","The afternoon heat left the workers feeling languid and unable to concentrate on their tasks.","languid movement; languid summer afternoon; languid pace","C2"
"Largesse","/lɑːrˈdʒes/","n. [U]","no changes","None","慷慨的餽贈；賞賜","The university's research program depended heavily on the largesse of a few wealthy benefactors.","royal largesse; display of largesse; government largesse","C2"
"Lassitude","/ˈlæsɪtjuːd/","n. [U]","no changes","None","疲勞；倦怠；無精打采","A general sense of lassitude pervaded the office after the demanding project finally concluded.","physical lassitude; sense of lassitude; mental lassitude","C2"
"Laud","/lɔːd/","v.","laud, lauds, lauded, lauded, lauding","laudable (adj.), laudatory (adj.)","讚美；讚揚","Critics were quick to laud the author for her meticulous attention to historical detail.","widely lauded; laud the achievement; critically lauded","C2"
"Lewd","/luːd/","adj.","lewd, lewder, lewdest","lewdness (n.)","淫穢的；下流的；猥褻的","The committee censored the play because of its lewd content and offensive language.","lewd remark; lewd behaviour; lewd gesture","C2"
"Lionize","/ˈlaɪənaɪz/","v.","lionize, lionizes, lionized, lionized, lionizing","lion (n.)","使成名；視作名人","The media tend to lionize scientists only after their discoveries have proven revolutionary.","lionize the author; widely lionized; lionize a leader","C2"
"Livid","/ˈlɪvɪd/","adj.","livid, more livid, most livid","lividity (n.), lividness (n.)","非常生氣的；發青的","The shareholders were livid when management disclosed the extent of the financial losses.","livid with rage; absolutely livid; livid expression","C2"
"Logos","/ˈləʊɡɒs/","n. [U]","no changes","None","理性；邏輯論證；（古希臘哲學）宇宙理性","In classical rhetoric, an argument grounded in logos relies on reason and logical evidence.","appeal to logos; rhetorical logos; logos and ethos","C2"
"Loll","/lɒl/","v.","loll, lolls, lolled, lolled, lolling","None","懶散地躺或坐著；垂下","The students would loll on the lawn between lectures, discussing their reading assignments.","loll about; loll in a chair; loll back","C2"
"Loom","/luːm/","v.","loom, looms, loomed, loomed, looming","None","隱約出現；即將發生","As deadlines began to loom, the research team intensified its data analysis efforts.","loom large; loom ahead; loom on the horizon","C2"
"Lopsided","/ˌlɒpˈsaɪdɪd/","adj.","lopsided, more lopsided, most lopsided","lopsidedness (n.)","不平衡的；向一側傾斜的","The survey produced a lopsided distribution, with responses heavily skewed toward one extreme.","lopsided distribution; lopsided victory; lopsided ratio","C2"
"Loquacious","/ləˈkweɪʃəs/","adj.","loquacious, more loquacious, most loquacious","loquacity (n.)","健談的；話多的","The normally reserved professor became surprisingly loquacious when discussing his field of expertise.","loquacious speaker; unusually loquacious; loquacious manner","C2"
"Luscious","/ˈlʌʃəs/","adj.","luscious, more luscious, most luscious","None","甘美多汁的；滿足感官的","The poet's imagery evokes luscious orchards heavy with ripe fruit, appealing directly to the reader's senses.","luscious fruit; luscious flavour; luscious vegetation","C2"
"Maladroit","/ˌmæləˈdrɔɪt/","adj.","maladroit, more maladroit, most maladroit","maladroitly (adv.), maladroitness (n.)","笨拙的；不靈巧的","The committee's maladroit handling of the negotiations alienated several key partners and undermined the entire initiative.","maladroit handling; socially maladroit; maladroit attempt","C2"
"Malaise","/mæˈleɪz/","n. [U]","no changes","None","身體不適；萎靡；（對社會的）不滿","Economists attributed the persistent malaise in the manufacturing sector to declining investment and weak consumer demand.","economic malaise; general malaise; social malaise","C2"
"Malcontent","/ˌmælkənˈtent/","n.","malcontent, malcontents","None","不滿者；滿腹牢騷的人","The reform movement was dismissed by authorities as the work of a handful of malcontents seeking to destabilise the regime.","political malcontent; group of malcontents; disgruntled malcontent","C2"
"Malediction","/ˌmælɪˈdɪkʃn/","n.","malediction, maledictions","maledict (v.)","詛咒；壞話","In many ancient cultures, a malediction pronounced by a priest was believed to bring lasting misfortune upon the offender.","utter a malediction; ancient malediction; solemn malediction","C2"
"Malevolence","/məˈlevələns/","n. [U]","no changes","malevolent (adj.)","惡意；狠毒","The novelist portrays the antagonist's malevolence as the inevitable product of years of neglect and resentment.","pure malevolence; sheer malevolence; act of malevolence","C2"
"Malign","/məˈlaɪn/","adj.","malign, more malign, most malign","maligner (n.), malignity (n.), malignment (n.)","惡意的；邪惡的","Critics argue that the policy exerted a malign influence on the regional economy for more than a decade.","malign influence; malign intent; malign neglect","C2"
"Masochist","/ˈmæsəkɪst/","n.","masochist, masochists","masochism (n.)","被虐狂；受虐狂","The author suggests that the protagonist behaves almost like a masochist, repeatedly seeking out situations that guarantee his own suffering.","emotional masochist; like a masochist; psychological masochist","C2"
"Mawkish","/ˈmɔːkɪʃ/","adj.","mawkish, more mawkish, most mawkish","mawkishness (n.)","無病呻吟的；多愁善感的；令人厭惡的","Several reviewers criticised the film for its mawkish sentimentality, which they felt undermined its more serious themes.","mawkish sentimentality; mawkish tone; mawkish nostalgia","C2"
"Mayhem","/ˈmeɪhem/","n. [U]","no changes","None","混亂狀態；大混亂","The sudden collapse of the currency caused economic mayhem that took the government years to bring under control.","cause mayhem; economic mayhem; scene of mayhem","C2"
"Median","/ˈmiːdiən/","adj.","no changes","medium (n.)","居中位的；中間的","The study reported that the median income of households in the region had risen only marginally over the past decade.","median age; median income; median value","C2"
"Melee","/ˈmeɪleɪ/","n.","melee, melees","None","混戰；互毆；混亂的人群","In the chaotic melee that followed the announcement, several delegates were injured and the session had to be suspended.","chaotic melee; general melee; bloody melee","C2"
"Mendacity","/menˈdæsəti/","n. [U]","no changes","mendacious (adj.)","說謊；撒謊；虛偽","The investigative report exposed the systematic mendacity that had concealed the corporation's financial losses for years.","habitual mendacity; corporate mendacity; political mendacity","C2"
"Mendicant","/ˈmendɪkənt/","n.","mendicant, mendicants","mendicancy (n.)","乞丐；托缽僧","In medieval cities, the mendicant would rely entirely on the charity of passersby for daily sustenance.","wandering mendicant; mendicant friar; religious mendicant","C2"
"Mercurial","/mɜːˈkjʊəriəl/","adj.","mercurial, more mercurial, most mercurial","mercurially (adv.), mercuriality (n.)","反覆無常的；精明的","She was entertaining but unpredictable, with mercurial mood swings that often left her friends feeling confused.","mercurial temperament; mercurial mood; mercurial nature","C2"
"Mettle","/ˈmetl/","n. [U]","no changes","None","精神；勇氣；才能；氣概","The prolonged economic crisis ultimately tested the mettle of the nation's political leadership.","test one's mettle; show one's mettle; prove one's mettle","C2"
"Mimicry","/ˈmɪmɪkri/","n. [U]","no changes","None","模仿；學樣；擬態","Evolutionary biologists study mimicry as a mechanism by which harmless species deter potential predators.","protective mimicry; vocal mimicry; Batesian mimicry","C2"
"Minion","/ˈmɪnjən/","n.","minion, minions","None","奴才；隨從；部下","The dictator delegated the enforcement of his harsh policies to a network of obedient minions throughout the provinces.","loyal minion; obedient minion; government minion","C2"
"Mire","/ˈmaɪər/","n.","mire, mires","None","泥沼；困境","The reforms were intended to lift the impoverished region out of the mire of chronic unemployment.","mire of poverty; political mire; economic mire","C2"
"Mire","/ˈmaɪər/","v.","mire, mires, mired, mired, miring","None","陷入困境；陷於泥濘","The negotiations became mired in procedural disputes that delayed any meaningful agreement for months.","mired in controversy; mired in debt; mired in conflict","C2"
"Mirth","/mɜːrθ/","n. [U]","no changes","mirthful (adj.)","歡笑；高興","The lecturer's unexpected anecdote provoked considerable mirth among the otherwise solemn audience.","unrestrained mirth; sudden mirth; general mirth","C2"
"Misanthrope","/ˈmɪzənθrəʊp/","n.","misanthrope, misanthropes","misanthropic (adj.), misanthropy (n.)","厭惡人類的人；遁世者","The philosopher was often portrayed as a reclusive misanthrope who distrusted the motives of his contemporaries.","reclusive misanthrope; embittered misanthrope; cynical misanthrope","C2"
"Misapprehension","/ˌmɪsæprɪˈhenʃn/","n.","misapprehension, misapprehensions","misapprehend (v.)","誤解；誤會","The author wrote the appendix specifically to correct a widespread misapprehension about the theory's underlying assumptions.","common misapprehension; widespread misapprehension; fundamental misapprehension","C2"
"Misconstrue","/ˌmɪskənˈstruː/","v.","misconstrue, misconstrues, misconstrued, misconstrued, misconstruing","misconception (n.), misconstrual (n.), misconstruction (n.)","誤解…的意思；誤解意圖","Critics warned that readers might misconstrue the author's irony as a sincere endorsement of the policy.","misconstrue the meaning; easily misconstrued; deliberately misconstrue","C2"
"Misnomer","/ˌmɪsˈnəʊmər/","n.","misnomer, misnomers","None","使用不當名稱；取名不當","The label ""painless procedure"" is something of a misnomer, since most patients still report moderate discomfort afterward.","something of a misnomer; a complete misnomer; an unfortunate misnomer","C2"
"Misogynist","/mɪˈsɒdʒɪnɪst/","n.","misogynist, misogynists","misogynistic (adj.), misogyny (n.)","厭惡女人的人；仇恨女人的人","Several scholars have argued that the playwright was a misogynist whose works systematically disparaged female characters.","a notorious misogynist; branded a misogynist; a self-confessed misogynist","C2"
"Mite","/maɪt/","n.","mite, mites","None","一點點；少量；微小的事物","Entomologists discovered that the parasitic mite had spread rapidly through the beehives during the warmer months.","a parasitic mite; a dust mite; a spider mite","C2"
"Mnemonic","/nɪˈmɒnɪk/","adj.","mnemonic, more mnemonic, most mnemonic","None","有助於記憶的；記憶術的","Researchers found that mnemonic strategies significantly improved students' ability to recall long sequences of information.","a mnemonic device; a mnemonic strategy; a mnemonic technique","C2"
"Mollify","/ˈmɒlɪfaɪ/","v.","mollify, mollifies, mollified, mollified, mollifying","mollification (n.)","使平靜；撫慰","The government announced modest tax cuts in an attempt to mollify voters angered by the recent austerity measures.","mollify the critics; mollify public anger; attempt to mollify","C2"
"Morose","/məˈrəʊs/","adj.","morose, more morose, most morose","morosely (adv.), moroseness (n.)","陰鬱的；悶悶不樂的","After receiving the rejection letter, the candidate became increasingly morose and withdrawn for several weeks.","a morose mood; become increasingly morose; a morose silence","C2"
"Muddle","/ˈmʌdl/","n.","muddle, muddles","None","混亂狀態；糊塗","The committee's conflicting instructions left the entire project in a hopeless administrative muddle.","an administrative muddle; in a muddle; a hopeless muddle","C2"
"Multifarious","/ˌmʌltɪˈfeəriəs/","adj.","multifarious, more multifarious, most multifarious","multifariousness (n.)","各式各樣的；繁雜的","The report examined the multifarious factors that contribute to economic inequality across developing regions.","multifarious activities; multifarious duties; multifarious forms","C2"
"Nihilism","/ˈnaɪɪlɪzəm/","n. [U]","no changes","nihilist (n.), nihilistic (adj.)","虛無主義；懷疑論","Many critics interpret the novel as an expression of moral nihilism, denying that any action carries inherent value.","moral nihilism; philosophical nihilism; embrace nihilism","C2"
"Nonchalance","/ˈnɒnʃələns/","n. [U]","no changes","nonchalant (adj.)","漠不關心；冷淡","The witness described the suspect's apparent nonchalance, noting that he showed no visible reaction to the accusation.","an air of nonchalance; studied nonchalance; apparent nonchalance","C2"
"Nonchalant","/ˈnɒnʃələnt/","adj.","nonchalant, more nonchalant, most nonchalant","nonchalance (n.), nonchalantly (adv.)","不關心的；冷淡的；悠哉的","Despite the gravity of the crisis, the minister maintained a remarkably nonchalant attitude throughout the proceedings.","a nonchalant attitude; appear nonchalant; a nonchalant manner","C2"
"Nonplussed","/ˌnɒnˈplʌst/","adj.","nonplussed, more nonplussed, most nonplussed","None","驚慌的；困惑的；不知所措的","The negotiators were completely nonplussed by the sudden withdrawal of their counterparts from the agreement.","completely nonplussed; appear nonplussed; left nonplussed","C2"
"Noxious","/ˈnɒkʃəs/","adj.","noxious, more noxious, most noxious","noxiously (adv.), noxiousness (n.)","（氣體或物質）有毒的；有害的","Prolonged exposure to the noxious gases released during combustion can severely damage the respiratory tissue of laboratory animals.","noxious fumes; noxious chemicals; noxious substances","C2"
"Obdurate","/ˈɒbdjərət/","adj.","obdurate, more obdurate, most obdurate","obduracy (n.), obdurately (adv.)","頑固的；倔強的；冷酷的","Despite mounting evidence presented by the committee, the minister remained obdurate in his refusal to amend the controversial policy.","obdurate refusal; remain obdurate; obdurate resistance","C2"
"Obliterate","/əˈblɪtəreɪt/","v.","obliterate, obliterates, obliterated, obliterated, obliterating","obliteration (n.), obliterable (adj.), obliterator (n.)","擦掉；忘卻；徹底毀滅","The advancing glacier gradually obliterated nearly all traces of the earlier settlements that once occupied the valley floor.","completely obliterate; obliterate the evidence; obliterate all traces","C2"
"Obloquy","/ˈɒbləkwi/","n. [U]","no changes","None","公開的嚴厲批評；恥辱","The scientist endured years of public obloquy before his unorthodox theory was finally vindicated by subsequent experiments.","public obloquy; subject to obloquy; endure obloquy","C2"
"Obtrude","/əbˈtruːd/","v.","obtrude, obtrudes, obtruded, obtruded, obtruding","obtrusive (adj.)","強加；使過分耀眼；打擾","A careful researcher must take care not to obtrude personal bias into the interpretation of the experimental data.","obtrude oneself; obtrude upon; obtrude opinions","C2"
"Obtuse","/əbˈtjuːs/","adj.","obtuse, more obtuse, most obtuse","obtusely (adv.), obtuseness (n.)","愚鈍的；（角）鈍的","The prose of the early treatise is so obtuse that even specialists struggle to extract its intended meaning.","obtuse angle; deliberately obtuse; obtuse reasoning","C2"
"Odious","/ˈəʊdiəs/","adj.","odious, more odious, most odious","odiously (adv.), odiousness (n.)","討厭的；可惡的；令人反感的","Historians regard the institution of slavery as one of the most odious practices ever sanctioned by colonial law.","odious comparison; odious task; odious regime","C2"
"Odium","/ˈəʊdiəm/","n. [U]","no changes","None","憎恨；厭惡；惡名","The corrupt official spent his final years in disgrace, having attracted the odium of an entire nation.","public odium; incur odium; general odium","C2"
"Odyssey","/ˈɒdəsi/","n.","odyssey, odysseys","None","長途漂泊；漫長的探索旅程","The biography traces the inventor's intellectual odyssey from an obscure provincial laboratory to international acclaim.","personal odyssey; epic odyssey; spiritual odyssey","C2"
"Offhand","/ˌɒfˈhænd/","adj.","offhand, more offhand, most offhand","None","不友好的；漫不經心的；怠慢的","The professor dismissed the student's hypothesis with an offhand comment that betrayed little serious consideration.","offhand manner; offhand remark; offhand comment","C2"
"Offhand","/ˌɒfˈhænd/","adv.","no changes","None","未經查證地；不假思索地；立刻","When questioned during the seminar, the lecturer admitted that she could not offhand recall the exact figures from the study.","know offhand; say offhand; remember offhand","C2"
"Ogle","/ˈəʊɡl/","v.","ogle, ogles, ogled, ogled, ogling","ogler (n.)","（色瞇瞇地）盯著看；拋媚眼","The study found that visitors tended to ogle the more sensational exhibits while overlooking the museum's scholarly displays.","ogle openly; ogle the crowd; stop ogling","C2"
"Omniscient","/ɒmˈnɪsiənt/","adj.","no changes","omniscience (n.)","無所不知的","In classical theology, an omniscient deity is presumed to possess complete knowledge of all past, present, and future events.","omniscient narrator; omniscient perspective; seemingly omniscient authority","C2"
"Onerous","/ˈəʊnərəs/","adj.","onerous, more onerous, most onerous","onerously (adv.), onerousness (n.)","繁重的；艱鉅的","The new regulations imposed an onerous administrative burden on small enterprises with limited resources.","onerous task; onerous obligation; onerous burden","C2"
"Onus","/ˈəʊnəs/","n. [U]","no changes","None","責任；義務；負擔","In civil proceedings, the onus rests on the plaintiff to demonstrate that the defendant acted negligently.","onus of proof; shift the onus; place the onus","C2"
"Opiate","/ˈəʊpiət/","n.","opiate, opiates","None","鴉片劑；麻醉劑；使人遲鈍的事物","Researchers have documented how prolonged exposure to a powerful opiate alters the brain's reward pathways.","opiate addiction; opiate dependence; synthetic opiate","C2"
"Ossify","/ˈɒsɪfaɪ/","v.","ossify, ossifies, ossified, ossified, ossifying","ossification (n.)","僵化；骨化","Bureaucratic institutions tend to ossify over time, resisting the reforms necessary for their continued relevance.","ossify into dogma; ossified attitudes; ossified hierarchy","C2"
"Ostracism","/ˈɒstrəˌsɪzəm/","n. [U]","no changes","ostracise (v.), ostracize (v.)","放逐；排斥","Sociologists argue that the threat of social ostracism functions as a powerful mechanism for enforcing group norms.","social ostracism; fear of ostracism; face ostracism","C2"
"Outstrip","/ˌaʊtˈstrɪp/","v.","outstrip, outstrips, outstripped, outstripped, outstripping","None","在數量、程度或成就上超過或勝過","In rapidly developing regions, demand for clean water often outstrips the capacity of existing infrastructure to supply it.","outstrip demand; outstrip supply; outstrip growth","C2"
"Palliate","/ˈpælieɪt/","v.","palliate, palliates, palliated, palliated, palliating","palliative (adj.), palliation (n.)","緩和；減輕","These short-term measures merely palliate the symptoms of economic inequality without addressing its underlying causes.","palliate symptoms; palliate suffering; palliate the effects","C2"
"Pallid","/ˈpælɪd/","adj.","pallid, more pallid, most pallid","pallidness (n.)","無血色的；蒼白的；病狀的","The patient presented with a pallid complexion, which the physician attributed to severe anemia.","pallid complexion; pallid appearance; pallid skin","C2"
"Palpable","/ˈpælpəbl/","adj.","palpable, more palpable, most palpable","palpably (adv.), palpability (n.)","明顯的；可感知的；可觸知的","There was a palpable sense of tension in the lecture hall as the committee announced its controversial findings.","palpable tension; palpable sense; palpable relief","C2"
"Panegyric","/ˌpænəˈdʒɪrɪk/","n.","panegyric, panegyrics","panegyrical (adj.)","正式的讚美；頌詞","The biographer's account reads less like an objective study than an elaborate panegyric to the late statesman.","elaborate panegyric; lengthy panegyric; deliver a panegyric","C2"
"Panopticon","/pænˈɒptɪkən/","n.","panopticon, panopticons","panoptical (adj.)","（看守室中央的）全景監獄；環形監獄","Foucault invoked the panopticon as a metaphor for the pervasive surveillance that characterizes modern disciplinary societies.","panopticon model; digital panopticon; panopticon design","C2"
"Paraphernalia","/ˌpærəfəˈneɪliə/","n. [U]","no changes","None","隨身用品；全部有關事物；裝備","The laboratory was cluttered with the paraphernalia of scientific research, from beakers to precision instruments.","scientific paraphernalia; religious paraphernalia; ceremonial paraphernalia","C2"
"Parity","/ˈpærəti/","n. [U]","no changes","par (n.)","（薪水或職位的）同等；平等","The study examined whether women had achieved parity with men in senior academic positions over the past decade.","wage parity; achieve parity; gender parity","C2"
"Paroxysm","/ˈpærəksɪzəm/","n.","paroxysm, paroxysms","paroxysmal (adj.)","（疾病）週期性發作；感情的爆發","The patient experienced a sudden paroxysm of coughing that the physicians attributed to the underlying respiratory condition.","paroxysm of rage; violent paroxysm; paroxysm of coughing","C2"
"Parry","/ˈpæri/","v.","parry, parries, parried, parried, parrying","None","擋開；迴避（問題等）","When questioned about the controversial findings, the lead researcher deftly parried each objection without conceding the central argument.","parry a question; parry an attack; parry criticism","C2"
"Patrilocal","/ˌpætrɪˈləʊkl/","adj.","patrilocal, more patrilocal, most patrilocal","None","（婚後的夫妻）以丈夫的家庭或聚落為居所的","In many traditional agrarian societies, marriage was patrilocal, requiring the bride to relocate to her husband's family household.","patrilocal residence; patrilocal society; patrilocal kinship","C2"
"Peccadillo","/ˌpekəˈdɪləʊ/","n.","peccadillo, peccadillos","None","小錯誤；小過失","The biographer treated each minor peccadillo as a revealing detail of the statesman's private character.","minor peccadillo; youthful peccadillo; moral peccadillo","C2"
"Pedant","/ˈpednt/","n.","pedant, pedants","pedantic (adj.)","賣弄學問的人；迂腐的學究","Critics dismissed the reviewer as a pedant who fixated on trivial errors of citation rather than engaging with the work's central thesis.","academic pedant; tiresome pedant; pedant about grammar","C2"
"Peevish","/ˈpiːvɪʃ/","adj.","peevish, more peevish, most peevish","peevishness (n.)","易怒的；脾氣壞的；撒嬌的","Sleep deprivation can leave subjects irritable and peevish, significantly impairing their performance on collaborative tasks.","peevish tone; peevish mood; peevish complaint","C2"
"Pejorative","/pɪˈdʒɒrətɪv/","adj.","pejorative, more pejorative, most pejorative","pejoratively (adv.)","貶低的；瞧不起人的；輕蔑的","Over time the originally neutral label acquired a distinctly pejorative connotation in academic discourse.","pejorative term; pejorative sense; pejorative connotation","C2"
"Pellucid","/pəˈluːsɪd/","adj.","pellucid, more pellucid, most pellucid","pellucidity (n.), pellucidness (n.)","清澈的；明白的；透明的","The author is admired for her pellucid prose, which renders even the most abstract philosophical concepts readily comprehensible.","pellucid prose; pellucid explanation; pellucid water","C2"
"Penury","/ˈpenjəri/","n. [U]","no changes","penurious (adj.), penuriously (adv.)","拮据；貧窮","Despite his later renown, the composer spent his final years in abject penury, unable to afford even modest lodgings.","live in penury; abject penury; reduced to penury","C2"
"Perfidy","/ˈpɜːrfədi/","n.","perfidy, perfidies","perfidious (adj.)","背棄；不忠貞的行為","The treatise condemns the diplomat's perfidy in signing a treaty he had already resolved to violate.","act of perfidy; base perfidy; accused of perfidy","C2"
"Perigee","/ˈperɪdʒiː/","n.","perigee, perigees","None","近地點（天體環繞軌道上距地球最近的一點）","The satellite reaches its perigee, the point of closest approach to Earth, at an altitude of roughly three hundred kilometres.","reach perigee; orbital perigee; perigee altitude","C2"
"Perquisite","/ˈpɜːrkwɪzɪt/","n.","perquisite, perquisites","None","額外補貼；津貼；特權","Generous health benefits and stock options are among the perquisites offered to senior executives at the firm.","executive perquisites; valuable perquisite; customary perquisites","C2"
"Pert","/pɜːrt/","adj.","pert, perter, pertest","pertness (n.), impertinence (n.)","小巧的；矯健的；俏皮的；魯莽的","The young assistant gave a surprisingly pert reply to the senior professor, which startled everyone in the seminar room.","pert reply; pert little nose; pert manner","C2"
"Pettifogging","/ˈpetifɒɡɪŋ/","adj.","pettifogging, more pettifogging, most pettifogging","pettifogger (n.), pettifoggery (n.)","吹毛求疵的；卑鄙的；斤斤計較的","The negotiations stalled because both delegations became preoccupied with pettifogging objections over minor procedural details.","pettifogging detail; pettifogging objection; pettifogging dispute","C2"
"Philistine","/ˈfɪlɪstaɪn/","n.","philistine, philistines","None","無文化修養的人；庸俗的人","Critics dismissed the wealthy patron as a philistine who valued paintings only for their resale price rather than their artistic merit.","cultural philistine; utter philistine; artistic philistine","C2"
"Piebald","/ˈpaɪbɔːld/","adj.","piebald, more piebald, most piebald","None","斑紋的；雜色的","The researchers documented the distinctive piebald coat, noting how the irregular black and white patches helped distinguish individual animals in the herd.","piebald horse; piebald pattern; piebald coat","C2"
"Piety","/ˈpaɪəti/","n. [U]","no changes","None","虔誠；孝敬","The biographer emphasized the monk's lifelong piety, which shaped both his scholarly writings and his devotion to charitable work.","filial piety; act of piety; religious piety","C2"
"Pilfer","/ˈpɪlfər/","v.","pilfer, pilfers, pilfered, pilfered, pilfering","pilferage (n.), pilferer (n.)","偷竊；小偷小摸","Employees were warned that anyone caught attempting to pilfer supplies from the warehouse would face immediate dismissal.","pilfer supplies; caught pilfering; pilfer from","C2"
"Pillage","/ˈpɪlɪdʒ/","n. [U]","no changes","None","掠奪物；搶劫行為","Historians estimate that the pillage of the conquered city deprived its inhabitants of nearly all their accumulated wealth.","systematic pillage; wanton pillage; subject to pillage","C2"
"Pillage","/ˈpɪlɪdʒ/","v.","pillage, pillages, pillaged, pillaged, pillaging","None","搶劫；掠奪；洗劫","The invading forces went on to pillage the surrounding villages, seizing grain and livestock before retreating northward.","pillage and plunder; pillage a city; pillage the countryside","C2"
"Pique","/piːk/","n. [U]","no changes","piquancy (n.)","生氣；不悅；（因自尊受損而）痛苦","In a fit of pique, the senator abruptly withdrew his support for the bill he had championed only weeks earlier.","fit of pique; out of pique; sense of pique","C2"
"Pique","/piːk/","v.","pique, piques, piqued, piqued, piquing","piquancy (n.)","激起（好奇心等）；使生氣","The lecturer's provocative opening question was designed to pique the students' curiosity about the unsolved problem.","pique one's interest; pique curiosity; pique the imagination","C2"
"Pithy","/ˈpɪθi/","adj.","pithy, pithier, pithiest","pithily (adv.), pithiness (n.)","言簡意賅的；簡潔有力的","The author summarized her central argument in a few pithy sentences that conveyed the entire thesis with remarkable economy.","pithy remark; pithy observation; pithy summary","C2"
"Placate","/pləˈkeɪt/","v.","placate, placates, placated, placated, placating","placation (n.), placatory (adj.)","平撫；安撫；使平靜","The government introduced subsidies in an attempt to placate farmers who had protested against the new agricultural policy.","placate critics; placate public anger; placate the opposition","C2"
"Placebo","/pləˈsiːbəʊ/","n.","placebo, placebos","None","安慰劑（不含有效成分、用於臨床對照試驗的代用藥）","Participants who received a placebo reported significant improvement, illustrating the powerful influence of expectation on perceived outcomes.","placebo effect; placebo group; administer a placebo","C2"
"Plaintive","/ˈpleɪntɪv/","adj.","plaintive, more plaintive, most plaintive","plaintively (adv.), plaintiveness (n.)","傷感的；哀怨的","The composer evoked a sense of loss through a plaintive melody that lingered throughout the final movement of the symphony.","plaintive cry; plaintive melody; plaintive tone","C2"
"Platitude","/ˈplætɪtjuːd/","n.","platitude, platitudes","platitudinous (adj.)","陳腐的；陳腔濫調","The minister's speech was dismissed by critics as a string of platitudes offering no concrete plan for addressing the economic crisis.","empty platitude; utter platitudes; vague platitude","C2"
"Plutocracy","/pluːˈtɒkrəsi/","n.","plutocracy, plutocracies","plutocratic (adj.), plutocratical (adj.)","富豪統治；財閥政治","Critics argue that unchecked campaign financing gradually transforms a democracy into a plutocracy governed by the wealthiest citizens.","entrenched plutocracy; rise of plutocracy; ruling plutocracy","C2"
